"Senator1","Senator2","Weight2017"
"all000030","all000033",0.861111111111111
"all000030","all000169",0.852678571428571
"all000030","all000023",0.89811320754717
"all000030","all000006",0.875776397515528
"all000030","all000027",0.88
"all000186","all000101",0.940298507462687
"all000186","all000144",0.93953488372093
"all000186","all000002",0.875
"all000186","all000021",0.94
"all000186","all000028",0.788018433179724
"all000186","all000025",0.810810810810811
"all000186","all000022",0.964912280701754
"all000186","all000165",0.957364341085271
"all000186","all000015",0.928301886792453
"all000186","all000019",0.933884297520661
"all000186","all000032",0.930612244897959
"all000186","all000011",0.880208333333333
"all000186","all000024",0.795454545454545
"all000186","all000026",0.884816753926702
"all000186","all000174",0.952380952380952
"all000186","all000033",0.911458333333333
"all000186","all000169",0.923728813559322
"all000186","all000023",0.944029850746269
"all000186","all000006",0.944444444444444
"all000186","all000027",0.916349809885932
"all000101","all000144",0.987394957983193
"all000101","all000002",0.913357400722022
"all000101","all000021",0.970695970695971
"all000101","all000028",0.844621513944223
"all000101","all000025",0.831325301204819
"all000101","all000022",0.953367875647668
"all000101","all000165",0.989010989010989
"all000101","all000015",0.949324324324324
"all000101","all000019",0.96969696969697
"all000101","all000032",0.981751824817518
"all000101","all000011",0.926605504587156
"all000101","all000024",0.855
"all000101","all000026",0.904255319148936
"all000101","all000174",0.957983193277311
"all000101","all000033",0.945812807881773
"all000101","all000169",0.977443609022556
"all000101","all000023",0.966216216216216
"all000101","all000006",0.978609625668449
"all000101","all000027",0.962068965517241
"all000144","all000002",0.892857142857143
"all000144","all000021",0.982300884955752
"all000144","all000028",0.813131313131313
"all000144","all000025",0.793969849246231
"all000144","all000022",0.958579881656805
"all000144","all000165",0.995454545454545
"all000144","all000015",0.944444444444444
"all000144","all000019",0.976076555023923
"all000144","all000032",0.986238532110092
"all000144","all000011",0.892215568862275
"all000144","all000024",0.816091954022989
"all000144","all000026",0.892215568862275
"all000144","all000174",0.965714285714286
"all000144","all000033",0.946428571428571
"all000144","all000169",0.968325791855204
"all000144","all000023",0.966942148760331
"all000144","all000006",0.987654320987654
"all000144","all000027",0.96969696969697
"all000002","all000021",0.921875
"all000002","all000028",0.907079646017699
"all000002","all000025",0.922077922077922
"all000002","all000022",0.862068965517241
"all000002","all000165",0.912
"all000002","all000015",0.905797101449275
"all000002","all000019",0.930041152263374
"all000002","all000032",0.919230769230769
"all000002","all000011",0.985294117647059
"all000002","all000024",0.931216931216931
"all000002","all000026",0.857142857142857
"all000002","all000174",0.889400921658986
"all000002","all000033",0.867403314917127
"all000002","all000169",0.887966804979253
"all000002","all000023",0.92831541218638
"all000002","all000006",0.891428571428571
"all000002","all000027",0.910112359550562
"all000021","all000028",0.853448275862069
"all000021","all000025",0.837719298245614
"all000021","all000022",0.960893854748603
"all000021","all000165",0.975609756097561
"all000021","all000015",0.940740740740741
"all000021","all000019",0.963855421686747
"all000021","all000032",0.976
"all000021","all000011",0.926470588235294
"all000021","all000024",0.855614973262032
"all000021","all000026",0.927374301675978
"all000021","all000174",0.980676328502415
"all000021","all000033",0.967567567567568
"all000021","all000169",0.963265306122449
"all000021","all000023",0.967272727272727
"all000021","all000006",0.982352941176471
"all000021","all000027",0.958646616541353
"all000028","all000025",0.941463414634146
"all000028","all000022",0.755952380952381
"all000028","all000165",0.819004524886878
"all000028","all000015",0.826446280991736
"all000028","all000019",0.846846846846847
"all000028","all000032",0.825
"all000028","all000011",0.910714285714286
"all000028","all000024",0.987421383647799
"all000028","all000026",0.826923076923077
"all000028","all000174",0.816831683168317
"all000028","all000033",0.78735632183908
"all000028","all000169",0.798165137614679
"all000028","all000023",0.840163934426229
"all000028","all000006",0.808917197452229
"all000028","all000027",0.839506172839506
"all000025","all000022",0.781818181818182
"all000025","all000165",0.816964285714286
"all000025","all000015",0.824427480916031
"all000025","all000019",0.866666666666667
"all000025","all000032",0.842553191489362
"all000025","all000011",0.929347826086957
"all000025","all000024",0.971264367816092
"all000025","all000026",0.855345911949686
"all000025","all000174",0.813725490196078
"all000025","all000033",0.837078651685393
"all000025","all000169",0.809090909090909
"all000025","all000023",0.846774193548387
"all000025","all000006",0.83448275862069
"all000025","all000027",0.851239669421488
"all000022","all000165",0.966480446927374
"all000022","all000015",0.91005291005291
"all000022","all000019",0.945945945945946
"all000022","all000032",0.954545454545455
"all000022","all000011",0.87248322147651
"all000022","all000024",0.788079470198676
"all000022","all000026",0.871212121212121
"all000022","all000174",0.942675159235669
"all000022","all000033",0.957142857142857
"all000022","all000169",0.939759036144578
"all000022","all000023",0.938775510204082
"all000022","all000006",0.984
"all000022","all000027",0.920212765957447
"all000165","all000015",0.958955223880597
"all000165","all000019",0.979423868312757
"all000165","all000032",0.987854251012146
"all000165","all000011",0.917948717948718
"all000165","all000024",0.824175824175824
"all000165","all000026",0.895604395604396
"all000165","all000174",0.968036529680365
"all000165","all000033",0.962765957446808
"all000165","all000169",0.970954356846473
"all000165","all000023",0.973880597014925
"all000165","all000006",0.994047619047619
"all000165","all000027",0.954022988505747
"all000015","all000019",0.954545454545455
