"Senator1","Senator2","Weight2017","Weight2015","Weight2013","Weight2011"
"mtl000016","mtl000002",NA,NA,0.847480106100796,0.864537444933921
"mtl000016","mtl000042",NA,NA,0.846534653465347,0.817391304347826
"mtl000016","mtl000004",NA,0.756501182033097,0.776849642004773,0.703296703296703
"mtl000016","mtl000159",NA,0.706572769953052,0.73551637279597,NA
"mtl000016","mtl000103",NA,0.81046511627907,0.837595907928389,NA
"mtl000016","mtl000050",NA,NA,NA,0.73866090712743
"mtl000016","mtl000001",NA,NA,0.827191867852605,0.701396348012889
"mtl000016","mtl000026",NA,NA,0.816604708798017,0.709643605870021
"mtl000016","mtl000029",NA,NA,NA,0.708189158016148
"mtl000016","mtl000054",NA,0.830232558139535,0.843631778058008,NA
"mtl000016","mtl000038",NA,0.862790697674419,0.82219419924338,0.828663793103448
"mtl000016","mtl000222",NA,0.829761904761905,NA,NA
"mtl000016","mtl000118",NA,NA,NA,NA
"mtl000016","mtl000021",NA,0.838383838383838,0.85785536159601,0.724700761697497
"mtl000016","mtl000034",NA,0.770053475935829,0.765680473372781,0.683438155136268
"mtl000016","mtl000009",NA,0.836320191158901,0.849875930521092,0.715644820295983
"mtl000016","mtl000028",NA,NA,NA,0.830290010741139
"mtl000016","mtl000017",NA,NA,NA,0.868835257082896
"mtl000016","mtl000070",NA,0.846055979643766,0.856242118537201,NA
"mtl000016","mtl000035",NA,NA,NA,0.735294117647059
"mtl000016","mtl000275",NA,0.8683314415437,NA,NA
"mtl000016","mtl000039",NA,NA,NA,0.701657458563536
"mtl000016","mtl000020",NA,NA,0.874242424242424,0.879144385026738
"mtl000016","mtl000161",NA,0.69804822043628,0.738663484486873,NA
"mtl000016","mtl000051",NA,0.851396648044693,NA,NA
"mtl000016","mtl000008",NA,0.838372093023256,0.830235439900867,0.732142857142857
"mtl000016","mtl000129",NA,0.690697674418605,0.752701080432173,NA
"mtl000016","mtl000015",NA,NA,NA,0.878260869565217
"mtl000016","mtl000305",NA,0.832558139534884,NA,NA
"mtl000016","mtl000172",NA,0.722283205268935,0.746192893401015,NA
"mtl000016","mtl000040",NA,NA,0.836734693877551,0.838912133891213
"mtl000016","mtl000048",NA,0.860252004581902,0.864427860696517,0.801288936627283
"mtl000016","mtl000171",NA,0.770142180094787,0.79925187032419,NA
"mtl000016","mtl000011",NA,NA,NA,0.787325456498389
"mtl000016","mtl000289",NA,0.728070175438597,NA,NA
"mtl000016","mtl000044",NA,0.881745120551091,0.878940731399748,0.869752421959096
"mtl000016","mtl000032",NA,NA,0.867334167709637,0.7457805907173
"mtl000016","mtl000280",NA,0.798349056603774,NA,NA
"mtl000016","mtl000394",NA,NA,NA,NA
"mtl000016","mtl000107",NA,0.862790697674419,NA,NA
"mtl000016","mtl000143",NA,0.656976744186046,NA,NA
"mtl000016","mtl000060",NA,0.724861878453039,NA,NA
"mtl000016","mtl000121",NA,0.846578366445916,0.830423940149626,NA
"mtl000016","mtl000137",NA,0.669213973799127,NA,NA
"mtl000016","mtl000090",NA,0.701694915254237,NA,NA
"mtl000016","mtl000354",NA,NA,NA,NA
"mtl000016","mtl000359",NA,NA,NA,NA
"mtl000016","mtl000089",NA,0.845810055865922,NA,NA
"mtl000016","mtl000019",NA,NA,0.77233782129743,0.699790794979079
"mtl000016","mtl000047",NA,NA,NA,0.814270724029381
"mtl000016","mtl000005",NA,NA,0.829842931937173,0.841234840132304
"mtl000016","mtl000133",NA,0.858139534883721,0.86583850931677,NA
"mtl000016","mtl000049",NA,NA,0.638539042821159,0.609756097560976
"mtl000016","mtl000402",NA,NA,NA,NA
"mtl000016","mtl000046",NA,NA,0.795685279187817,0.865168539325843
"mtl000016","mtl000381",NA,NA,NA,NA
"mtl000016","mtl000027",NA,NA,0.745932415519399,0.692725298588491
"mtl000016","mtl000036",NA,NA,0.733674775928297,0.65531914893617
"mtl000016","mtl000045",NA,NA,0.72929542645241,0.656410256410256
"mtl000016","mtl000385",NA,NA,NA,NA
"mtl000016","mtl000010",NA,0.832098765432099,0.869240348692404,0.841552990556139
"mtl000016","mtl000371",NA,NA,NA,NA
"mtl000016","mtl000142",NA,0.743016759776536,0.745247148288973,NA
"mtl000016","mtl000168",NA,0.615116279069767,0.651515151515151,NA
"mtl000016","mtl000022",NA,0.791061452513967,0.781440781440781,0.757068062827225
"mtl000016","mtl000018",NA,NA,NA,0.622699386503067
"mtl000016","mtl000052",NA,0.757009345794392,0.787716955941255,NA
"mtl000016","mtl000003",NA,NA,NA,0.625263157894737
"mtl000043","mtl000248",0.864768683274021,0.841287458379578,NA,NA
"mtl000043","mtl000066",0.861578266494179,0.796839729119639,NA,NA
"mtl000043","mtl000012",NA,NA,0.875634517766497,0.887368421052632
"mtl000043","mtl000213",0.633893919793014,0.602594339622642,NA,NA
"mtl000043","mtl000158",NA,NA,0.87363304981774,NA
"mtl000043","mtl000025",NA,0.648498331479422,0.661538461538462,0.542976939203354
"mtl000043","mtl000037",NA,NA,NA,0.894962486602358
"mtl000043","mtl000363",0.862615587846764,NA,NA,NA
"mtl000043","mtl000006",NA,NA,NA,0.56957928802589
"mtl000043","mtl000013",0.671410090556274,0.599769319492503,0.628422425032594,0.553964757709251
"mtl000043","mtl000041",NA,0.787134502923977,0.778061224489796,0.89760348583878
"mtl000043","mtl000409",0.64125,NA,NA,NA
"mtl000043","mtl000023",NA,0.652808988764045,0.67816091954023,0.648445873526259
"mtl000043","mtl000030",NA,NA,0.848522167487685,0.87881981032666
"mtl000043","mtl000387",0.864897466827503,NA,NA,NA
"mtl000043","mtl000024",NA,NA,NA,0.90084388185654
"mtl000043","mtl000014",NA,NA,NA,0.625
"mtl000043","mtl000369",0.852103120759837,NA,NA,NA
"mtl000043","mtl000033",NA,NA,0.903179190751445,0.933478735005453
"mtl000043","mtl000247",NA,0.625144175317186,NA,NA
"mtl000043","mtl000007",NA,0.848101265822785,0.856287425149701,0.882480957562568
"mtl000043","mtl000031",NA,NA,0.84197218710493,0.891829689298044
"mtl000043","mtl000383",0.84869325997249,NA,NA,NA
"mtl000043","mtl000002",NA,NA,0.630906768837803,0.580338266384778
"mtl000043","mtl000042",NA,NA,0.628758169934641,0.514957264957265
"mtl000043","mtl000004",NA,0.837098692033294,0.876695437731196,0.912111468381565
"mtl000043","mtl000159",0.871232876712329,0.806375442739079,0.831632653061224,NA
"mtl000043","mtl000103",0.653491436100132,0.60233918128655,0.621693121693122,NA
"mtl000043","mtl000050",NA,NA,NA,0.836734693877551
"mtl000043","mtl000001",NA,NA,0.831645569620253,0.895474137931034
"mtl000043","mtl000026",NA,NA,0.85969387755102,0.894273127753304
"mtl000043","mtl000029",NA,NA,NA,0.885071090047393
"mtl000043","mtl000054",0.666235446313066,0.612865497076023,0.621903520208605,NA
"mtl000043","mtl000038",NA,0.619883040935672,0.611473272490222,0.56353591160221
"mtl000043","mtl000222",0.662162162162162,0.588023952095808,NA,NA
"mtl000043","mtl000118",0.883468834688347,NA,NA,NA
"mtl000043","mtl000021",0.857707509881423,0.809352517985611,0.828320802005013,0.90045766590389
"mtl000043","mtl000034",NA,0.832764505119454,0.837267080745342,0.901982378854626
"mtl000043","mtl000009",0.858108108108108,0.808894230769231,0.821428571428571,0.917777777777778
"mtl000043","mtl000028",NA,NA,NA,0.524251805985552
"mtl000043","mtl000017",NA,NA,NA,0.557883131201764
"mtl000043","mtl000070",NA,0.588957055214724,0.64068209500609,NA
"mtl000043","mtl000035",NA,NA,NA,0.882911392405063
"mtl000043","mtl000275",0.688259109311741,0.611650485436893,NA,NA
"mtl000043","mtl000039",NA,NA,NA,0.90899241603467
"mtl000043","mtl000020",NA,NA,0.676335877862595,0.592910848549946
"mtl000043","mtl000161",0.877922077922078,0.819089900110988,0.856639247943596,NA
"mtl000043","mtl000051",0.868046571798189,0.79438202247191,NA,NA
"mtl000043","mtl000008",NA,0.808187134502924,0.809948979591837,0.888766519823789
"mtl000043","mtl000129",NA,0.858479532163743,0.884093711467324,NA
"mtl000043","mtl000015",NA,NA,NA,0.592148309705562
"mtl000043","mtl000305",0.632911392405063,0.601169590643275,NA,NA
"mtl000043","mtl000172",0.876152832674572,0.825730994152047,0.861618798955614,NA
"mtl000043","mtl000040",NA,NA,0.638613861386139,0.534102833158447
"mtl000043","mtl000048",NA,0.647490820073439,0.66579634464752,0.567180616740088
"mtl000043","mtl000171",0.874831763122476,0.833134684147795,0.867096774193548,NA
"mtl000043","mtl000011",NA,NA,NA,0.481012658227848
"mtl000043","mtl000289",0.870320855614973,0.825730994152047,NA,NA
"mtl000043","mtl000044",0.705333333333333,0.666666666666667,0.671447196870926,0.629139072847682
"mtl000043","mtl000032",NA,NA,0.816062176165803,0.904665314401623
"mtl000043","mtl000280",0.878017789072427,0.824401368301026,NA,NA
"mtl000043","mtl000394",0.835309617918314,NA,NA,NA
"mtl000043","mtl000107",0.678385416666667,0.640044994375703,NA,NA
"mtl000043","mtl000143",0.885375494071146,0.850292397660819,NA,NA
"mtl000043","mtl000060",0.898550724637681,0.866039952996475,NA,NA
"mtl000043","mtl000121",0.70026525198939,0.608951707891637,0.626288659793814,NA
"mtl000043","mtl000137",0.885309278350515,0.862745098039216,NA,NA
"mtl000043","mtl000090",0.849081364829396,0.838164251207729,NA,NA
"mtl000043","mtl000354",0.857338820301783,NA,NA,NA
"mtl000043","mtl000359",0.83399209486166,NA,NA,NA
"mtl000043","mtl000089",0.848930481283422,0.782022471910112,NA,NA
"mtl000043","mtl000019",NA,NA,0.8721071863581,0.902413431269675
"mtl000043","mtl000047",NA,NA,NA,0.513215859030837
"mtl000043","mtl000005",NA,NA,0.619537275064267,0.531891891891892
"mtl000043","mtl000133",0.686092715231788,0.617543859649123,0.640156453715776,NA
"mtl000043","mtl000049",NA,NA,0.809466019417476,0.844226579520697
"mtl000043","mtl000402",0.891625615763547,NA,NA,NA
"mtl000043","mtl000046",NA,NA,0.601864181091877,0.553054662379421
"mtl000043","mtl000381",0.857328145265888,NA,NA,NA
"mtl000043","mtl000027",0.863087248322148,NA,0.886743886743887,0.902004454342984
"mtl000043","mtl000036",NA,NA,0.892347600518807,0.935123042505593
"mtl000043","mtl000045",NA,NA,0.891113892365457,0.893684210526316
