"Senator1","Senator2","Agree","Disagree","weight"
"Raptakis","Pagliarini",472,105,0.818024263431542
"Raptakis","Gallo",1542,48,0.969811320754717
"Raptakis","Coyne",963,28,0.971745711402624
"Raptakis","Morgan",871,122,0.877139979859013
"Raptakis","Metts",1576,57,0.965094917330067
"Raptakis","Sosnowski",1586,42,0.974201474201474
"Raptakis","Gee",942,59,0.941058941058941
"Raptakis","Lynch",1015,23,0.977842003853565
"Raptakis","Neill",1402,93,0.937792642140468
"Raptakis","Doyle",1386,39,0.972631578947368
"Raptakis","Goodwin",1586,43,0.973603437691835
"Raptakis","Ciccone",1050,33,0.969529085872576
"Raptakis","Weed",1553,41,0.974278544542033
"Raptakis","Conley",1590,48,0.970695970695971
"Raptakis","Hodgson",618,17,0.973228346456693
"Raptakis","Lombardo",1425,36,0.975359342915811
"Raptakis","Felag",1585,48,0.970606246172688
"Raptakis","Walaska",1464,38,0.974700399467377
"Raptakis","Pearson",1529,48,0.969562460367787
"Raptakis","Paolino",38,2,0.95
"Raptakis","Pichardo",1405,44,0.969634230503796
"Raptakis","Sheehan",1388,28,0.980225988700565
"Raptakis","Fogarty",1539,44,0.972204674668351
"Raptakis","Miller",1484,52,0.966145833333333
"Raptakis","DiPalma",1541,42,0.973468098547063
"Raptakis","McCaffrey",1486,44,0.971241830065359
"Raptakis","Quezada",40,0,1
"Raptakis","Bates",633,12,0.981395348837209
"Raptakis","Ottiano",994,16,0.984158415841584
"Raptakis","Lombardi",1468,37,0.975415282392027
"Seveney","Crowley",43,0,1
"Seveney","Algiere",44,1,0.977777777777778
"Seveney","Jabour",45,0,1
"Seveney","Ponte",35,0,1
"Seveney","Pagliarini",0,0,NA
"Seveney","Gallo",30,0,1
"Seveney","Coyne",43,0,1
"Seveney","Morgan",39,3,0.928571428571429
"Seveney","Metts",41,1,0.976190476190476
"Seveney","Sosnowski",40,0,1
"Seveney","Gee",42,2,0.954545454545455
"Seveney","Lynch",0,0,NA
"Seveney","Neill",0,0,NA
"Seveney","Doyle",28,0,1
"Seveney","Goodwin",37,0,1
"Seveney","Ciccone",42,0,1
"Seveney","Weed",35,0,1
"Seveney","Conley",45,0,1
"Seveney","Hodgson",0,0,NA
"Seveney","Lombardo",45,0,1
"Seveney","Felag",43,0,1
"Seveney","Walaska",0,0,NA
"Seveney","Pearson",45,0,1
"Seveney","Paolino",42,2,0.954545454545455
"Seveney","Pichardo",0,0,NA
"Seveney","Sheehan",41,1,0.976190476190476
"Seveney","Fogarty",45,0,1
"Seveney","Miller",44,0,1
"Seveney","DiPalma",43,0,1
"Seveney","McCaffrey",45,0,1
"Seveney","Quezada",44,0,1
"Seveney","Bates",0,0,NA
"Seveney","Ottiano",0,0,NA
"Seveney","Lombardi",44,0,1
"Crowley","Algiere",1545,41,0.974148802017655
"Crowley","Jabour",1588,17,0.989408099688474
"Crowley","Ponte",1468,5,0.996605566870333
"Crowley","Pagliarini",466,120,0.795221843003413
"Crowley","Gallo",1542,9,0.994197292069632
"Crowley","Coyne",995,2,0.997993981945838
"Crowley","Morgan",848,144,0.854838709677419
"Crowley","Metts",1555,24,0.984800506649778
"Crowley","Sosnowski",1588,2,0.99874213836478
"Crowley","Gee",938,64,0.936127744510978
"Crowley","Lynch",971,4,0.995897435897436
"Crowley","Neill",1306,112,0.921015514809591
"Crowley","Doyle",1359,5,0.99633431085044
"Crowley","Goodwin",1587,2,0.998741346758968
"Crowley","Ciccone",1070,5,0.995348837209302
"Crowley","Weed",1542,2,0.998704663212435
"Crowley","Conley",1587,9,0.994360902255639
"Crowley","Hodgson",573,15,0.974489795918367
"Crowley","Lombardo",1412,10,0.992967651195499
"Crowley","Felag",1564,17,0.989247311827957
"Crowley","Walaska",1440,9,0.993788819875776
"Crowley","Pearson",1555,12,0.99234205488194
"Crowley","Paolino",40,2,0.952380952380952
"Crowley","Pichardo",1417,9,0.993688639551192
"Crowley","Sheehan",1402,19,0.986629134412386
"Crowley","Fogarty",1527,11,0.992847854356307
"Crowley","Miller",1476,12,0.991935483870968
"Crowley","DiPalma",1529,8,0.994795055302537
"Crowley","McCaffrey",1475,5,0.996621621621622
"Crowley","Quezada",42,0,1
"Crowley","Bates",589,13,0.978405315614618
"Crowley","Ottiano",964,8,0.991769547325103
"Crowley","Lombardi",1439,7,0.995159059474412
"Algiere","Jabour",1787,56,0.969614758545849
"Algiere","Ponte",1605,46,0.97213809812235
"Algiere","Pagliarini",606,101,0.857142857142857
"Algiere","Gallo",1723,52,0.970704225352113
"Algiere","Coyne",1117,42,0.963761863675582
"Algiere","Morgan",1040,123,0.894239036973345
"Algiere","Metts",1747,67,0.963065049614112
"Algiere","Sosnowski",1757,48,0.973407202216066
"Algiere","Gee",1126,45,0.961571306575576
"Algiere","Lynch",1082,8,0.992660550458716
"Algiere","Neill",1555,92,0.944140862173649
"Algiere","Doyle",1493,43,0.972005208333333
"Algiere","Goodwin",1761,46,0.974543442169341
"Algiere","Ciccone",1220,50,0.960629921259842
"Algiere","Weed",1737,43,0.975842696629214
"Algiere","Conley",1767,53,0.970879120879121
"Algiere","Hodgson",642,12,0.981651376146789
"Algiere","Lombardo",1599,38,0.976786805131338
"Algiere","Felag",1767,50,0.972482113373693
"Algiere","Walaska",1633,42,0.974925373134328
"Algiere","Pearson",1736,50,0.972004479283315
"Algiere","Paolino",43,1,0.977272727272727
"Algiere","Pichardo",1582,47,0.971147943523634
"Algiere","Sheehan",1553,41,0.974278544542033
"Algiere","Fogarty",1720,52,0.970654627539503
"Algiere","Miller",1662,57,0.966841186736475
"Algiere","DiPalma",1697,55,0.968607305936073
"Algiere","McCaffrey",1660,53,0.969060128429656
"Algiere","Quezada",43,1,0.977272727272727
"Algiere","Bates",657,5,0.992447129909366
"Algiere","Ottiano",1066,0,1
"Algiere","Lombardi",1640,39,0.976771888028588
"Jabour","Ponte",1660,21,0.98750743604997
"Jabour","Pagliarini",574,139,0.805049088359046
"Jabour","Gallo",1787,18,0.990027700831025
"Jabour","Coyne",1159,18,0.984706881903144
"Jabour","Morgan",1016,165,0.860287891617273
